Средний балл зрителей,Количество оценок,IMDb,Режиссёр,"Хронометраж, мин",Возраст,Год
7.6,679000,5.7,Guy Ritchie,128,12+,2009
6.3,290000,4.1,Jay Roach,115,12+,2004
7.1,195000,6.6,Alessandro Carloni,95,6+,2016
8.6,1200000,7.5,James Cameron,137,16+,1991
7.2,734000,6.4,Peyton Reed,117,12+,2015
5.9,267000,4.9,Andy Serkis,97,16+,2021
7.1,240000,5.2,Jerry Zucker,127,14+,1990
8.0,477000,8.6,Ron Clements,90,G,1992
6.3,103000,4.9,Carlos Saldanha,101,0+,2014
7.3,579000,5.6,Wolfgang Petersen,163,16+,2004
7.9,630000,8.8,John Lasseter,92,6+,1999
7.0,138000,5.8,Peter Sohn,101,6+,2023
8.1,816000,7.5,Dean DeBlois,98,6+,2010
6.5,237000,6.8,Jan de Bont,113,12+,1996
6.3,215000,4.4,Sam Raimi,130,6+,2013
5.8,295000,3.9,Louis Leterrier,106,12+,2010
6.6,121000,4.3,Joachim Rønning,119,6+,2019
7.4,307000,8.2,Matt Reeves,140,16+,2017
7.9,749000,8.4,Andrew Adamson,90,6+,2001
6.5,551000,5.5,Doug Liman,120,14+,2005
6.7,313000,4.8,Ron Howard,138,12+,2009
5.8,222000,3.1,Jonathan Liebesman,101,6+,2014
6.8,441000,4.6,Tom Shadyac,101,12+,2003
6.9,254000,6.3,Carlos Saldanha,96,0+,2011
8.6,1500000,9.1,Steven Spielberg,169,16+,1998
7.6,584000,6.8,Rupert Wyatt,105,14+,2011
7.8,187000,7.3,Joel Crawford,102,6+,2022
8.1,675000,8.7,Steven Spielberg,124,16+,1975
7.7,663000,6.3,Chris Columbus,103,12+,1990
6.0,238000,4.8,Peyton Reed,124,12+,2023
6.6,147000,4.4,Genndy Tartakovsky,89,6+,2015
8.3,1100000,5.8,Richard Marquand,131,0+,1983
6.7,538000,7.2,Tim Burton,115,12+,2005
6.1,261000,4.3,Brad Peyton,114,12+,2015
8.2,821000,6.5,Steven Spielberg,127,0+,1989
6.5,310000,5.8,Andy Muschietti,169,18+,2019
8.0,713000,8.8,Tom Hooper,118,14+,2010
8.0,691000,9.4,Damien Chazelle,128,16+,2016
7.7,467000,7.2,Rich Moore,101,6+,2012
7.7,394000,8.3,Phil Lord,100,6+,2014
6.3,250000,5.9,Adam Wingard,113,12+,2021
7.7,862000,7.3,Todd Phillips,100,16+,2009
6.4,543000,6.2,Luc Besson,89,18+,2014
6.7,193000,6.6,Travis Knight,114,6+,2018
8.7,2100000,7.3,Lana Wachowski,136,16+,1999
7.7,500000,7.2,J.J. Abrams,132,12+,2013
8.5,1700000,6.7,Ridley Scott,155,18+,2000
7.1,372000,5.1,Garry Marshall,119,16+,1990
7.2,483000,7.3,John Lasseter,116,0+,2006
6.7,75000,6.4,Guan Hu,149,18+,2020
6.6,551000,5.8,Brett Ratner,104,12+,2006
6.4,18000,0.0,Chiyu Zhang,122,12+,2022
6.5,257000,4.8,Jon Turteltaub,124,12+,2007
7.2,477000,5.9,Brian De Palma,110,12+,1996
7.6,875000,5.2,Zack Snyder,117,16+,2006
7.8,478000,5.5,Edward Zwick,154,16+,2003
8.2,78000,7.2,Haruo Sotozaki,117,16+,2020
7.8,82000,6.3,Muye Wen,117,0+,2018
7.7,630000,7.4,Steven Soderbergh,116,12+,2001
6.3,23000,0.0,Kaige Chen,154,12+,2019
6.5,186000,5.3,Rob Letterman,104,12+,2019
7.0,913000,5.7,Kenneth Branagh,115,12+,2011
6.2,356000,4.4,Michael Bay,183,12+,2001
7.3,252000,8.0,Chris Buck,88,6+,1999
6.2,410000,4.9,Barry Sonnenfeld,88,12+,2002
8.0,664000,8.5,Paul Greengrass,115,16+,2007
6.4,351000,4.8,Stephen Sommers,130,12+,2001
4.6,56000,4.1,Betty Thomas,88,6+,2009
7.5,349000,6.3,Tom Hooper,158,12+,2012
8.1,464000,8.3,William Friedkin,122,18+,1973
7.1,297000,5.4,Chris Columbus,125,0+,1993
6.3,296000,3.8,Alan Taylor,126,12+,2015
7.7,352000,7.8,Chad Stahelski,169,18+,2023
6.7,284000,3.2,Duncan Jones,123,12+,2016
6.0,111000,4.2,Steven Caple Jr.,127,12+,2023
7.5,319000,4.8,Michael Gracey,105,12+,2017
6.2,43000,5.2,Chris Renaud,94,6+,2024
7.6,426000,8.8,Bradley Cooper,136,18+,2018
5.6,97000,4.2,James Wan,124,12+,2023
6.3,423000,6.6,Jonathan Mostow,109,16+,2003
7.4,447000,7.1,Destin Daniel Cretton,132,16+,2021
6.1,231000,5.6,Lee Tamahori,133,12+,2002
6.4,71000,5.5,Chris Renaud,86,6+,2019
7.8,649000,7.4,Robert Zemeckis,143,12+,2000
6.1,189000,4.5,Brad Peyton,107,12+,2018
6.7,551000,4.7,Lana Wachowski,129,16+,2003
8.5,946000,5.7,Olivier Nakache,112,14+,2011
6.5,185000,5.9,Adil El Arbi,124,18+,2020
8.5,1700000,8.1,Quentin Tarantino,165,18+,2012
8.0,485000,9.5,Gary Trousdale,84,6+,1991
8.0,296000,7.2,Kevin Costner,181,6+,1990
6.4,11000,0.0,Hao Ning,153,12+,2020
6.5,228000,6.2,Andrew Adamson,150,12+,2008
5.7,129000,5.3,Michael Patrick King,145,16+,2008
7.1,470000,4.8,Stephen Sommers,124,0+,1999
6.2,25000,0.0,Wai Keung Lau,111,12+,2019
6.3,169000,5.3,Michael Apted,113,12+,2010
6.6,246000,5.8,Paul Greengrass,123,12+,2016
6.7,503000,6.1,James Mangold,126,12+,2013
7.7,732000,6.0,Matthew Vaughn,129,18+,2014
6.0,216000,4.2,Shawn Levy,105,6+,2009
7.5,411000,6.9,Tim Burton,126,12+,1989
6.4,150000,3.9,Mick Jackson,129,16+,1992
6.9,537000,6.5,Guillermo del Toro,131,12+,2013
6.7,373000,4.4,Matthew Vaughn,141,18+,2017
